,player_ID,sport,position,retire_year,retire_age,years_played
671,Mario Chalmers,NBA,2,2018,59,10
672,Bill Chamberlain,NBA,3,1974,10,2
675,Tom Chambers,NBA,0,1998,52,17
676,Mike Champion,NBA,3,1989,69,1
677,Tyson Chandler,NBA,1,2018,51,17
678,Wilson Chandler,NBA,3,2018,73,11
679,Don Chaney,NBA,2,1980,39,12
681,Rex Chapman,NBA,2,2000,37,12
682,Wayne Chapman,NBA,0,1972,1,4
683,Len Chappell,NBA,0,1972,16,10
684,Ken Charles,NBA,2,1978,28,5
686,Calbert Cheaney,NBA,0,2006,39,13
687,Maurice Cheeks,NBA,2,1993,25,15
689,Will Cherry,NBA,2,2015,43,1
690,Derrick Chievous,NBA,3,1991,24,3
691,Pete Chilcutt,NBA,0,2000,75,9
692,Josh Childress,NBA,0,2014,65,10
693,Randolph Childress,NBA,2,1997,0,2
694,Chris Childs,NBA,2,2003,73,9
695,Leroy Chollet,NBA,3,1951,24,2
696,Jim Chones,NBA,0,1982,36,10
697,Marquese Chriss,NBA,3,2018,48,2
701,Doug Christie,NBA,0,2007,19,15
702,Dionte Christmas,NBA,2,2014,70,1
703,Rakeem Christmas,NBA,3,2017,45,2
704,Semaj Christon,NBA,2,2017,76,1
705,Patrick Christopher,NBA,0,2015,55,1
707,Robert Churchwell,NBA,0,1996,5,1
708,Archie Clark,NBA,2,1976,1,10
709,Carlos Clark,NBA,2,1985,41,2
710,Earl Clark,NBA,3,2015,23,6
711,Ian Clark,NBA,2,2018,26,5
712,Keon Clark,NBA,0,2004,11,6
714,Coty Clarke,NBA,3,2016,72,1
715,Jordan Clarkson,NBA,2,2018,48,4
716,Gian Clavell,NBA,2,2018,40,1
717,Victor Claver,NBA,3,2015,66,3
